INDEX	UUID	TYPE	STR	AG_A_TEXT	AG_A_LINKS	AG_A_STR	AG_B_TEXT	AG_B_LINKS	AG_B_STR	PMID	TEXT	IS_HYP	IS_DIRECT	CURATOR	CORRECT	NOTES	AG_A_IDS_CORRECT	AG_A_STATE_CORRECT	AG_B_IDS_CORRECT	AG_B_STATE_CORRECT	EVENT_CORRECT	RES_CORRECT	POS_CORRECT	SUBJ_ACT_CORRECT	OBJ_ACT_CORRECT	HYP_CORRECT	DIRECT_CORRECT
11	f14dbf11-95ed-4938-b819-9c8abbff82bd	Inhibition	Inhibition(HDAC(), FOXO())	HDAC	https://identifiers.org/fplx/HDAC	HDAC()	FOXO	https://identifiers.org/fplx/FOXO	FOXO()	23966291	HDAC and PI3K inhibitors activate E2F1 and FOXO transcriptional program and apoptosis.		FALSE	JAB	1												
12	03c39bd9-146c-43aa-9362-2f9a9bc240dc	Activation	Activation(FHOD1(), TAGLN())	FHOD1	https://identifiers.org/uniprot/Q9Y613, https://identifiers.org/hgnc/HGNC:17905	FHOD1()	SM22	https://identifiers.org/uniprot/Q01995, https://identifiers.org/hgnc/HGNC:11553	TAGLN()	21106951	In support of this idea, the ability of the FHOD1 3xD variant to stimulate SM22 promoter activity was strongly inhibited by the actin polymerization inhibitor, latrunculin B (XREF_FIG) or by co-expression with a dominant negative MRTF (XREF_FIG).		FALSE	JAB	1	Should be increase amount, probably, but allowing it											
13	44109f4e-68b4-47d6-9793-f5c1521adb7f	Activation	Activation(BMP(), PTEN())	BMP	https://identifiers.org/fplx/BMP	BMP()	PTEN	https://identifiers.org/uniprot/P60484, https://identifiers.org/hgnc/HGNC:9588	PTEN()	21456062	We found that 24 hours of BMP pretreatment caused a doubling in PTEN half-life (15.1 hours to 28.4 hours, p = 0.03, n = 4).		FALSE	JAB	1	Should be increase amount, probably, but allowing it											
14	dad2fa6c-18ec-4e3f-8184-aa236217e735	Activation	Activation(CLIP1(), RAC1())	CLIP-170	https://identifiers.org/uniprot/P30622, https://identifiers.org/hgnc/HGNC:10461	CLIP1()	Rac1	https://identifiers.org/uniprot/P63000, https://identifiers.org/hgnc/HGNC:9801	RAC1()	18237546	Therefore, it seems likely to assume that the depletion of CLIP-170 by siRNA may cause the unusual activation of Rac1 by dissociation of IQGAP1 and kinesin from Rac1, thereby leading to promotion of HGF independent lamellipodia formation and serum independent three-dimensional invasion, because increasing Rac1 activity promotes random lamellipodia formation and cell migration.		FALSE	JAB	0	Polarity											
15	382db044-bb22-4a83-8ab2-40f98d82ee81	DecreaseAmount	DecreaseAmount(PDCD4(mods: (modification)), RPS6KB1())	Pdcd4	https://identifiers.org/uniprot/Q53EL6, https://identifiers.org/hgnc/HGNC:8763	PDCD4(mods: (modification))	p70S6K1	https://identifiers.org/uniprot/P23443, https://identifiers.org/hgnc/HGNC:10436	RPS6KB1()	25573956	We also noted that over-expression of Pdcd4 decreased p70S6K1 protein levels (XREF_FIG and XREF_SUPPLEMENTARY and XREF_SUPPLEMENTARY) and knockdown of Pdcd4 elevated p70S6K1 protein levels (XREF_FIG and XREF_SUPPLEMENTARY and XREF_SUPPLEMENTARY).		FALSE	JAB	1												
16	1168b2e8-2d38-47b0-8610-a383ba86424f	DecreaseAmount	DecreaseAmount(PLN(), POU5F1())	PLB	https://identifiers.org/uniprot/P26678, https://identifiers.org/hgnc/HGNC:9080	PLN()	Oct-4	https://identifiers.org/uniprot/Q01860, https://identifiers.org/hgnc/HGNC:9221	POU5F1()	26491260	XREF_BIBR The Western blotting results showed that PLB significantly decreased the expression level of Oct-4, Sox-2, Nanog, and Bmi-1.		FALSE	JAB	1												
17	b2fbcfa8-987c-4e35-b9fc-a06c2f7fa088	Dephosphorylation	Dephosphorylation(MTOR(), IRS1(), Y)	mTOR	https://identifiers.org/uniprot/P42345, https://identifiers.org/hgnc/HGNC:3942	MTOR()	insulin receptor substrate-1	https://identifiers.org/uniprot/P35568, https://identifiers.org/hgnc/HGNC:6125	IRS1()	19078992	Thus, both AKT and MAPK inhibition may be potent to enhance melanoma chemosensitivity.Previous studies demonstrated that rapamycin inhibiting mTOR and thus p70S6K prevents the serine phosphorylation of insulin receptor substrate-1 thus promoting its tyrosine phosphorylation and subsequently PI3K activation, that is, rapamycin may activate PI3K and thus attenuate its therapeutic effects ().		FALSE	JAB	1												
18	9fcf7747-33f9-42c2-99ae-9c97f52867f8	IncreaseAmount	IncreaseAmount(PFKFB3(), VEGF())	PFKFB3	https://identifiers.org/uniprot/Q16875, https://identifiers.org/hgnc/HGNC:8874	PFKFB3()	VEGF	https://identifiers.org/fplx/VEGF	VEGF()	24332967	Furthermore, addition of sodium pyruvate at a concentration that increases oxygen consumption () did not rescue the impaired vessel sprouting in 3PO treated spheroids (K and S2L), indicating that diminishing glycolysis by 3PO did not reduce vessel sprouting by diminishing entry of glycolytic intermediates into the tricarboxylic acid (TCA) cycle for oxidative glucose metabolism.We analyzed if PFKFB3 impeded tip or stalk cell formation by reducing the expression of VEGF receptor 2 (VEGFR2) and Dll4, known to influence tip versus stalk cell formation, respectively ().		FALSE	JAB	0	Should be VEGFR2, not VEGF; also polarity wrong; also hypothesis.											
19	5cc0775b-669a-4d4c-827f-7d8cb7b9351a	Activation	Activation(SNRPN(), SNRPA())	SNRPN	https://identifiers.org/uniprot/P63162, https://identifiers.org/hgnc/HGNC:11164	SNRPN()	U1A	https://identifiers.org/uniprot/P09012, https://identifiers.org/hgnc/HGNC:11151	SNRPA()	16116039	The upstream SNRPN promoters U1A and U1B also contain potential NRF-1 binding sites; however, no interaction of NRF-1 was detected with either allele of the U1A promoter (XREF_FIG), which is not active in blood cells.		FALSE	JAB	0	No relation--maybe mixed up by "promoter"											
20	c1555569-5d52-43b3-a50b-f3fff52d48d5	Activation	Activation(E3_Ub_ligase(), E3_Ub_ligase())	E3	https://identifiers.org/fplx/E3_Ub_ligase	E3_Ub_ligase()	E3 ubiquitin ligase	https://identifiers.org/fplx/E3_Ub_ligase	E3_Ub_ligase()	25659040	E3 RING ligases generally require dimerization to promote E3 ubiquitin ligase activity XREF_BIBR and we tested the effect of hMDMX p60 on hMDM2 's autoubiquitination activity.		FALSE	JAB	1	A funky one, but dimerization aspect suggests that could be interpreted as correct.											
21	dd16fd12-3f7c-4ebc-9d28-7837149d0efe	Activation	Activation(ERG(), MMP1())	Erg	https://identifiers.org/uniprot/P11308, https://identifiers.org/hgnc/HGNC:3446	ERG()	collagenase1	https://identifiers.org/uniprot/P03956, https://identifiers.org/hgnc/HGNC:7155	MMP1()	8957070	In transiently transfected cells, Ets2 activates both promoters whereas Erg induces collagenase1 but not stromelysin1 promoter activity.		FALSE	JAB	1	Should technically be IncreaseAmount											
22	26a11034-a6fc-41a4-83d6-ff866f0b2575	Activation	Activation(NCOA3(), EIF2AK3())	NCOA3	https://identifiers.org/uniprot/Q9Y6Q9, https://identifiers.org/hgnc/HGNC:7670	NCOA3()	PERK	https://identifiers.org/uniprot/Q9NZJ5, https://identifiers.org/hgnc/HGNC:3255	EIF2AK3()	27109102	XREF_BIBR, XREF_BIBR Indeed we observed that knockdown of NCOA3 abrogated PERK signalling and provided resistance to EnR stress mediated cell death (XREF_FIG).		FALSE	JAB	1												
23	624ecffa-cc44-4514-bcee-4ea948b50c33	Complex	Complex(TGFB(), AHSG())	TGF-beta	https://identifiers.org/fplx/TGFB	TGFB()	AHSG	https://identifiers.org/uniprot/P02765, https://identifiers.org/hgnc/HGNC:349	AHSG()	24332981	TGF-beta was examined to determine whether levels of the TGF-beta binding AHSG influenced the effect of TGF-beta on cell signaling and proliferation.		TRUE	JAB	1												
24	1b8fcdc2-10fe-440a-a989-20402e27b4da	IncreaseAmount	IncreaseAmount(NR5A2(bound: [TCF4, True]), MYC())	LRH-1	https://identifiers.org/uniprot/O00482, https://identifiers.org/hgnc/HGNC:7984	NR5A2(bound: [TCF4, True])	c-Myc	https://identifiers.org/uniprot/P01106, https://identifiers.org/hgnc/HGNC:7553	MYC()	28710032	LRH-1 can interact with transcription factor 4 and beta-catenin of Wnt signaling to promote the expression of cyclin D1, cyclin E1 and c-Myc ().		FALSE														
25	97213a46-c55a-4447-9ff8-e322422f3194	DecreaseAmount	DecreaseAmount(LDLR(), SORT1())	LDL receptor	https://identifiers.org/uniprot/P01130, https://identifiers.org/hgnc/HGNC:6547	LDLR()	Sort1	https://identifiers.org/uniprot/Q99523, https://identifiers.org/hgnc/HGNC:11186	SORT1()	25101658	Importantly, absence of the LDL receptor did not reduce the effect of Sort1 overexpression or deficiency on LDL uptake, suggesting an LDL receptor independent mechanism.		FALSE														
26	d493f07f-5499-418e-90c3-9007db5a7f48	Phosphorylation	Phosphorylation(CTNNB1(), PTK2(), S)	beta-catenin	https://identifiers.org/uniprot/P35222, https://identifiers.org/hgnc/HGNC:2514	CTNNB1()	FAK	https://identifiers.org/uniprot/Q05397, https://identifiers.org/hgnc/HGNC:9611	PTK2()	24021281	The primary antibodies used were against : Active beta-catenin (Clone 8E7; Millipore, Billerica, MA, USA), Total beta-catenin (gift from Dr. James Wahl, University of Nebraska Medical Center), pGSK3beta (Serine; Cell Signaling Technology), Total GSK3beta (Cell Signaling Technology), Akt (Cell Signaling Technology), pAkt (Serine; Cell Signaling Technology), COX-2 (Cayman Chemical), FAK (Cell Signaling Technology), phosphorylated FAK (Ser Santa Cruz Biotechnology, Inc..		TRUE														
27	661ea3a8-cd08-466b-bf9c-5d4ff2654704	Activation	Activation(ELANE(), INS())	neutrophil elastase	https://identifiers.org/uniprot/P08246, https://identifiers.org/hgnc/HGNC:3309	ELANE()	insulin	https://identifiers.org/uniprot/P01308, https://identifiers.org/hgnc/HGNC:6081	INS()	25794852	Because insulin signaling is positively regulated by neuraminidase 1, a component of the elastin receptor complex and because insulin resistance can be mediated by neutrophil elastase, it is plausible to test the hypothesis that EPs modulate insulin resistance via the elastin receptor complex.		FALSE														
28	a498c894-092c-4bc3-85d6-558d89ce01d6	Activation	Activation(EGFR(bound: [FAM83B, True]), PLD())	EGFR	https://identifiers.org/uniprot/P00533, https://identifiers.org/hgnc/HGNC:3236	EGFR(bound: [FAM83B, True])	PLD	https://identifiers.org/fplx/PLD	PLD()	23912460	Site directed mutation of lysine 230 of FAM83B attenuates FAM83B and EGFR interactions and suppresses PLD activity and downstream MAPK signaling.		FALSE														
29	ec477d77-9c5f-49ed-b940-f6113e85c750	Inhibition	Inhibition(VDR(), MAD1L1())	VDR	https://identifiers.org/uniprot/P11473, https://identifiers.org/hgnc/HGNC:12679	VDR()	mad-1	https://identifiers.org/uniprot/Q9Y6D9, https://identifiers.org/hgnc/HGNC:6762	MAD1L1()	28189050	VDR Signaling Inhibits the Expression of H19 by Regulating the C-Myc and mad -1 Network.		FALSE														
30	7b56ec8a-2017-4847-b2a0-b5cf6436402d	DecreaseAmount	DecreaseAmount(KIT(), LGR5())	KIT	https://identifiers.org/uniprot/P10721, https://identifiers.org/hgnc/HGNC:6342	KIT()	LGR5	https://identifiers.org/uniprot/O75473, https://identifiers.org/hgnc/HGNC:4504	LGR5()	26026391	KIT knockdown cells had increased expression of enterocyte markers, decreased expression of cycling genes, and, unexpectedly, increased expression of LGR5 associated genes.		FALSE														
31	ceb167e7-3057-4d92-b7c6-adaaf23e82c7	Complex	Complex(PTHLH(), PTHLH())	PLP	https://identifiers.org/uniprot/P12272, https://identifiers.org/hgnc/HGNC:9607	PTHLH()	Pyridoxal-5'-phosphate	https://identifiers.org/uniprot/P12272, https://identifiers.org/hgnc/HGNC:9607	PTHLH()	16413837	Pyridoxal-5 '-phosphate (PLP) binds to and undergoes a series of characteristic reactions with HSA.		TRUE														
32	ec4d0c61-cbba-4843-b02b-d94a505fa1e5	Complex	Complex(UBASH3B(), UBASH3B())	UBASH3B	https://identifiers.org/uniprot/Q8TF42, https://identifiers.org/hgnc/HGNC:29884	UBASH3B()	Sts-1	https://identifiers.org/uniprot/Q8TF42, https://identifiers.org/hgnc/HGNC:29884	UBASH3B()	26449661	We observed constitutive binding of UBASH3B and Sts -1 to CBL irrespective of cytokine stimulation (XREF_FIG left).		TRUE														
33	bed269bf-b84c-4dcc-bd67-124178f784db	Activation	Activation(ALB(), TMPRSS11D())	serum albumin	https://identifiers.org/uniprot/P02768, https://identifiers.org/hgnc/HGNC:399	ALB()	HAT	https://identifiers.org/uniprot/O60235, https://identifiers.org/hgnc/HGNC:24059	TMPRSS11D()	22387215	Additional filter binding experiments using a reaction time of 5min showed that addition of GST, bovine serum albumin or PBX1 failed to increase the HAT activity of CBP substantially, arguing against a nonspecific effect (B and C).		FALSE														
34	9599ff0d-5107-42c8-8e00-2fad03fa1af5	Dephosphorylation	Dephosphorylation(CD82(), EGFR(), Y)	CD82	https://identifiers.org/uniprot/P27701, https://identifiers.org/hgnc/HGNC:6210	CD82()	EGFR	https://identifiers.org/uniprot/P00533, https://identifiers.org/hgnc/HGNC:3236	EGFR()	23076981	CD82 inhibits EGFR tyrosine phosphorylation and Ras- and PI3K dependent c-Met signalling.		FALSE														
35	fc596ff0-4c09-4edd-a567-dacfd480895c	Activation	Activation(DYRK1B(), MYOG())	Mirk	https://identifiers.org/uniprot/Q9Y463, https://identifiers.org/hgnc/HGNC:3092	DYRK1B()	myogenin	https://identifiers.org/uniprot/P15173, https://identifiers.org/hgnc/HGNC:7612	MYOG()	15546868	Co-expression of Mirk with MEF2C, but not MyoD or Myf5, enhanced activation of the myogenin promoter in a Mirk kinase dependent manner.		FALSE														
36	b0e8c88b-a94b-4855-9711-7528f93b2242	Activation	Activation(SEMA3A(), PLXNA1())	Sema3A	https://identifiers.org/uniprot/Q14563, https://identifiers.org/hgnc/HGNC:10723	SEMA3A()	PlexinA1	https://identifiers.org/uniprot/Q9UIW2, https://identifiers.org/hgnc/HGNC:9099	PLXNA1()	20727575	This PlexinC1 activation scheme is simpler than a previously proposed model for Sema3A induced PlexinA1 activation.		FALSE														
37	20d3ca48-ebce-4f3f-b808-c704da93916f	Complex	Complex(SEMA3F(), NPTX2())	Sema3F	https://identifiers.org/uniprot/Q13275, https://identifiers.org/hgnc/HGNC:10728	SEMA3F()	NP2	https://identifiers.org/uniprot/P47972, https://identifiers.org/hgnc/HGNC:7953	NPTX2()	11239433	Sema3A binds to only NP1, whereas Sema3B, Sema3C, and Sema3F bind to NP1 and NP2.		TRUE														
38	2fdea8b9-67d6-4346-b960-d52813f36121	Inhibition	Inhibition(UCHL1(), mTORC1())	UCH-L1	https://identifiers.org/uniprot/P09936, https://identifiers.org/hgnc/HGNC:12513	UCHL1()	mTORC1	https://identifiers.org/fplx/mTORC1	mTORC1()	23297343	We find that UCH-L1 impairs mTORC1 activity toward S6 kinase and 4EBP1 while increasing mTORC2 activity toward Akt.		FALSE														
39	3e868ff1-8b84-4bac-b6f3-ac88e2d6ccf4	Translocation	Translocation(OPTN(), Golgi apparatus, None)	Optn	https://identifiers.org/uniprot/Q96CV9, https://identifiers.org/hgnc/HGNC:17142	OPTN()				22365832	Indeed, translocation of Optn from the Golgi apparatus into the nucleus triggered by Plk1 mediated phosphorylation constitutes a prerequisite for the downregulation of Plk1 activity by Optn.		FALSE														
40	a5a7e715-4c3f-4046-8f25-7529ec26bf51	Activation	Activation(AKT(), CXCL5())	AKT	https://identifiers.org/fplx/AKT	AKT()	CXCL5	https://identifiers.org/uniprot/P42830, https://identifiers.org/hgnc/HGNC:10642	CXCL5()	28356111	Our results demonstrated that the inhibition of ERK pathway rather than AKT pathway changed the cellular morphology and reversed the effects of CXCL5 on migration in HCT116 CXCL5 and SW480 shRNA cells (Additional file 5 : Figure S4).		FALSE														
41	64189603-3d4e-4efe-a5b0-5abfd7193608	Activation	Activation(TAT(), NECTIN1())	tat	https://identifiers.org/uniprot/P17735, https://identifiers.org/hgnc/HGNC:11573	TAT()	nectin-1	https://identifiers.org/uniprot/Q15223, https://identifiers.org/hgnc/HGNC:9706	NECTIN1()	24586397	HIV tat and gp120 induced disruption of AJs exposes nectin-1 for HSV-1 binding.		FALSE	BMG	0												
42	64189603-3d4e-4efe-a5b0-5abfd7193608	Activation	Activation(TAT(), NECTIN1())	tat	https://identifiers.org/uniprot/P17735, https://identifiers.org/hgnc/HGNC:11573	TAT()	nectin-1	https://identifiers.org/uniprot/Q15223, https://identifiers.org/hgnc/HGNC:9706	NECTIN1()	24586397	These data clearly indicate that tat and gp120- and virion induced disruption of AJs exposes nectin-1 to gD, which binds to nectin-1, facilitating viral infection.		FALSE	BMG	0												
43	1234a3aa-406e-4b95-84c3-8be584dd8b07	Inhibition	Inhibition(MDM2(), TWIST1())	MDM2	https://identifiers.org/uniprot/Q00987, https://identifiers.org/hgnc/HGNC:6973	MDM2()	Twist	https://identifiers.org/uniprot/Q15672, https://identifiers.org/hgnc/HGNC:12428	TWIST1()	26416355	On the other hand, MDM2 silencing in MCF10A cells upregulated both Slug and Twist, and MDM2 overexpression downregulated Slug and Twist in these cells.		FALSE	BMG	1												
44	1234a3aa-406e-4b95-84c3-8be584dd8b07	Inhibition	Inhibition(MDM2(), TWIST1())	MDM2	https://identifiers.org/uniprot/Q00987, https://identifiers.org/hgnc/HGNC:6973	MDM2()	Twist	https://identifiers.org/uniprot/Q15672, https://identifiers.org/hgnc/HGNC:12428	TWIST1()	26416355	On the other hand, MDM2 silencing in MCF10A cells upregulated both Slug and Twist, and MDM2 overexpression downregulated Slug and Twist in these cells.		FALSE	BMG	1												
45	d0176831-872c-4615-9d49-f3af06719876	DecreaseAmount	DecreaseAmount(RUNX1(), MYC())	Runx1	https://identifiers.org/uniprot/Q01196, https://identifiers.org/hgnc/HGNC:10471	RUNX1()	c-Myc	https://identifiers.org/uniprot/P01106, https://identifiers.org/hgnc/HGNC:7553	MYC()	26916619	Accordingly, RUNX1 silencing increased the mRNA levels of neither c-Myc, nor CCND1 nor LEF1 (XREF_FIG and XREF_SUPPLEMENTARY), nor did it upregulate expression of the LEF and TCF TOPFLASH reporter (XREF_FIG).		FALSE	BMG	0												
46	d0176831-872c-4615-9d49-f3af06719876	DecreaseAmount	DecreaseAmount(RUNX1(), MYC())	Runx1	https://identifiers.org/uniprot/Q01196, https://identifiers.org/hgnc/HGNC:10471	RUNX1()	c-Myc	https://identifiers.org/uniprot/P01106, https://identifiers.org/hgnc/HGNC:7553	MYC()	23874874	The transcript level of c-Myc is increased in Runx1.d190-transduced Jurkat cells compared to the empty pLEIGW vector control in microarray and quantitative real-time PCR analysis, implying that endogenous full-length Runx1 normally represses c-Myc expression (XREF_FIG, XREF_FIG.		FALSE	BMG	1												
47	675cfc87-3b91-4dd2-b791-03d73005fa8e	DecreaseAmount	DecreaseAmount(PTEN(), BECN1())	PTEN	https://identifiers.org/uniprot/P60484, https://identifiers.org/hgnc/HGNC:9588	PTEN()	Beclin 1	https://identifiers.org/uniprot/Q14457, https://identifiers.org/hgnc/HGNC:1034	BECN1()	27107786	Up-regulation of PTEN reduced the expressions of Beclin-1 and LC3 and increased the levels of mTOR (A and B).		FALSE	BMG	1												
48	675cfc87-3b91-4dd2-b791-03d73005fa8e	DecreaseAmount	DecreaseAmount(PTEN(), BECN1())	PTEN	https://identifiers.org/uniprot/P60484, https://identifiers.org/hgnc/HGNC:9588	PTEN()	Beclin 1	https://identifiers.org/uniprot/Q14457, https://identifiers.org/hgnc/HGNC:1034	BECN1()	27107786	pCDNA-PTEN was used to elevate PTEN, which led to increased levels of mTOR and to decreased levels of Beclin 1, LC3 II/I, and p-ERK.		FALSE	BMG	1												
49	850dbb49-d977-421f-9750-da7e5b03ce1a	Activation	Activation(PAK2(), PAK2())	gamma-PAK	https://identifiers.org/uniprot/Q13177, https://identifiers.org/hgnc/HGNC:8591	PAK2()	gamma-PAK	https://identifiers.org/uniprot/Q13177, https://identifiers.org/hgnc/HGNC:8591	PAK2()	11121037	Cotransfection of c-Abl and gamma-PAK elicits phosphorylation of gamma-PAK on tyrosine and down-regulation of gamma-PAK activity, promoting accumulation of inactive gamma-PAK.		FALSE	BMG	0												
50	850dbb49-d977-421f-9750-da7e5b03ce1a	Activation	Activation(PAK2(), PAK2())	gamma-PAK	https://identifiers.org/uniprot/Q13177, https://identifiers.org/hgnc/HGNC:8591	PAK2()	gamma-PAK	https://identifiers.org/uniprot/Q13177, https://identifiers.org/hgnc/HGNC:8591	PAK2()	11121037	Cotransfection of c-Abl and gamma-PAK elicits phosphorylation of gamma-PAK on tyrosine and down-regulation of gamma-PAK activity, promoting accumulation of inactive gamma-PAK.		FALSE	BMG	0												
51	2ea4909f-5cb5-4d61-985e-22b7a8766588	Phosphorylation	Phosphorylation(USP4(), CHEK1())	USP4	https://identifiers.org/uniprot/Q13107, https://identifiers.org/hgnc/HGNC:12627	USP4()	CHK1	https://identifiers.org/uniprot/O14757, https://identifiers.org/hgnc/HGNC:1925	CHEK1()	26387952	We also found that WT USP4, but not the insert domain deletion mutant, restored the HR efficiency and CHK1 phosphorylation to their level in the wild-type cells (E-5G).		FALSE	JAB	1												
52	2ea4909f-5cb5-4d61-985e-22b7a8766588	Phosphorylation	Phosphorylation(USP4(), CHEK1())	USP4	https://identifiers.org/uniprot/Q13107, https://identifiers.org/hgnc/HGNC:12627	USP4()	CHK1	https://identifiers.org/uniprot/O14757, https://identifiers.org/hgnc/HGNC:1925	CHEK1()	26387952	As shown in A-6G, WT USP4, but not the CA mutant, restored HR efficiency, CtIP, RAD51, RPA foci, and CHK1 phosphorylation in USP4 depleted cells after IR.		FALSE	JAB	1												
53	b57528d3-c730-4673-a898-2254cd24c59c	Complex	Complex(TGFA(), HGF())	TGFa	https://identifiers.org/uniprot/P01135, https://identifiers.org/hgnc/HGNC:11765	TGFA()	HGF	https://identifiers.org/uniprot/P14210, https://identifiers.org/hgnc/HGNC:4893	HGF()	27004406	A number of reports indicated paracrine secretion as paramount to glioblastoma growth, with ligands such as TGFalpha, IL-6, IotaL-8, HGF and heparin binding EGF playing central role, further supporting the hypothesis [XREF_BIBR, XREF_BIBR, XREF_BIBR, XREF_BIBR - XREF_BIBR].		TRUE	JAB	0	no relation, and "heparin binding EGF" should be HBEGF gene											
